02:22:00.150,2,UP,18
02:22:12.450,1,UP,19
02:22:25.300,1,UP,20
02:22:38.000,2,DOWN,1
02:22:50.450,3,UP,7
02:23:03.150,6,DOWN,1
02:23:15.450,9,UP,12
02:23:28.150,12,UP,15
02:23:40.450,15,DOWN,10
02:23:53.150,10,DOWN,5
02:24:05.450,13,UP,18
02:24:18.150,16,DOWN,11
02:24:30.450,11,DOWN,5
02:24:43.150,6,DOWN,2
02:24:55.450,9,UP,16
02:25:08.150,12,UP,19
02:25:20.450,15,DOWN,10
02:25:33.150,10,DOWN,5
02:25:45.450,13,UP,18
02:25:58.150,16,UP,21
02:26:10.450,19,DOWN,15
02:26:23.150,14,DOWN,8
02:26:35.450,9,UP,16
02:26:48.150,12,DOWN,7
02:27:00.450,7,DOWN,2
02:27:13.150,2,UP,6
02:27:25.450,5,UP,9
02:27:38.150,8,UP,12
02:27:50.450,11,UP,15
02:28:03.150,14,DOWN,9
02:28:15.450,9,DOWN,4
02:28:28.150,4,DOWN,1
02:28:40.450,1,UP,5
02:28:53.150,6,UP,10
02:29:05.450,9,DOWN,4
02:29:18.150,4,UP,8
02:29:30.450,7,UP,11
02:29:43.150,10,UP,14
02:29:55.450,13,UP,17
02:30:08.150,16,DOWN,12
02:30:20.450,11,DOWN,6
02:30:33.150,6,DOWN,1
02:30:45.450,1,UP,5
02:30:58.150,4,DOWN,1
02:31:10.450,1,UP,6
02:31:23.150,7,UP,11
02:31:35.450,10,UP,14
02:31:48.150,13,UP,18
